Metals,Symbols,ElectroVal.,Atomic No,Atomic Mass
Hydrogen,H,1,1,1.007
Lithium,Li,1,3,4.002
Berilium,Be,2,4,9.012
Sodium,Na,1,11,23
Magnesium,Mg,2,12,24.305
Aluminium,Al,10203,13,27
Potassium,K,1,19,39.94
Calcium,Ca,102,20,40.08
Scadium,Sc,203,21,44.9
Titanium,Ti,20304,22,47.9
Vanadium,V,2030405,23,50.9
Chromium,Cr,203040506,24,51.9
Manganase,Mn,20304050607,25,54.9
Iron,Fe,203,26,55.8
Cobalt,Co,20305,27,58.98
Nickel,Ni,10203,28,58.7
Copper,Cu,102,29,63.34
Zink,Zn,2,30,65.38
Rubidium,Rb,1,37,85.46
Strontium,Sr,103,38,87.62
Zirconium,zr,,40,91.22
Niobium,Nb,,41,92.9064
Molybdenum,Mo,,42,95.94
Technetium,Tc,,43,98
Ruthenium,Ru,,44,101.07
Rhodium,Rh,,45,102.9055
Silver,Ag,,47,107.868
Cadmium,Cd,,48,112.41
Indium,In,,49,114.82
Tin,Sn,,50,118.69
Cesium,Cs,,58,132.9054
Barium,Ba,,56,137.33
Lanthanum,La,,57,138.9055
Cerium,Ce,,58,140.12
Praseodymium,Pr,,59,149.9055
Neodymium,Nd,,60,144.24
Yttrium,Y,,39,88.9059
Palladium,Pd,,46,106.4
